Customer_ID,Age_Group,Gender,Join_Date
C0001,18-25,M,2021-12-31
C0002,55+,F,2021-09-27
C0003,46-55,M,2021-11-14
C0004,36-45,F,2022-04-18
C0005,46-55,F,2022-01-11
C0006,18-25,M,2022-12-22
C0007,55+,F,2021-11-12
C0008,46-55,F,2021-06-10
C0009,18-25,M,2022-04-27
C0010,26-35,F,2021-03-21
C0011,46-55,F,2021-07-01
C0012,26-35,M,2022-09-02
C0013,26-35,M,2022-10-29
C0014,18-25,M,2021-03-15
C0015,36-45,M,2022-03-06
C0016,55+,M,2022-08-30
C0017,18-25,F,2022-02-24
C0018,46-55,F,2022-06-25
C0019,55+,F,2021-10-09
C0020,36-45,F,2021-02-07
C0021,18-25,F,2022-07-27
C0022,36-45,M,2022-01-14
C0023,46-55,M,2021-02-27
C0024,18-25,M,2022-04-14
C0025,46-55,M,2021-01-03
C0026,55+,F,2021-11-22
C0027,55+,M,2021-02-08
C0028,36-45,M,2021-05-09
C0029,36-45,F,2022-12-16
C0030,55+,F,2021-04-05
C0031,26-35,M,2022-04-17
C0032,55+,F,2022-01-12
C0033,18-25,F,2021-08-31
C0034,46-55,M,2022-06-02
C0035,55+,F,2022-05-08
C0036,55+,M,2022-07-06
C0037,46-55,F,2021-11-09
C0038,46-55,F,2021-02-17
C0039,18-25,F,2022-08-12
C0040,46-55,F,2022-02-19
C0041,36-45,M,2022-05-03
C0042,55+,F,2022-05-15
C0043,46-55,M,2021-02-17
C0044,18-25,M,2021-05-23
C0045,46-55,F,2022-03-05
C0046,55+,F,2022-02-05
C0047,26-35,M,2021-06-20
C0048,46-55,F,2022-04-29
C0049,36-45,F,2022-03-25
C0050,55+,M,2022-03-21
C0051,18-25,F,2022-12-01
C0052,55+,M,2021-08-20
C0053,26-35,F,2021-03-03
C0054,18-25,F,2021-07-21
C0055,26-35,F,2021-12-17
C0056,26-35,F,2022-10-31
C0057,36-45,F,2022-08-27
C0058,46-55,F,2021-07-23
C0059,36-45,M,2022-07-23
C0060,36-45,M,2022-04-26
C0061,36-45,F,2021-03-24
C0062,18-25,F,2022-03-13
C0063,46-55,M,2022-07-07
C0064,46-55,M,2022-05-18
C0065,18-25,M,2021-12-04
C0066,36-45,F,2021-02-09
C0067,36-45,F,2021-12-02
C0068,26-35,F,2022-10-22
C0069,26-35,M,2022-02-18
C0070,55+,M,2021-05-17
C0071,26-35,F,2021-12-19
C0072,46-55,M,2022-08-19
C0073,18-25,F,2021-01-02
C0074,36-45,F,2021-04-21
C0075,55+,M,2021-12-20
C0076,26-35,F,2022-09-05
C0077,55+,M,2021-07-21
C0078,18-25,M,2021-03-07
C0079,18-25,F,2021-07-28
C0080,55+,F,2021-03-23
C0081,55+,M,2021-12-11
C0082,55+,F,2021-06-07
C0083,36-45,M,2021-05-29
C0084,46-55,F,2021-06-08
C0085,26-35,M,2021-03-29
C0086,26-35,M,2021-06-08
C0087,26-35,F,2022-04-08
C0088,55+,F,2021-07-27
C0089,55+,M,2021-07-04
C0090,55+,M,2021-09-03
C0091,36-45,M,2021-10-21
C0092,36-45,M,2021-06-18
C0093,36-45,F,2021-06-26
C0094,36-45,F,2022-09-13
C0095,18-25,F,2022-02-14
C0096,36-45,M,2021-07-24
C0097,36-45,F,2022-07-09
C0098,36-45,M,2021-02-27
C0099,26-35,M,2021-06-30
C0100,26-35,F,2021-07-13
C0101,26-35,F,2021-04-18
C0102,46-55,M,2021-09-16
C0103,18-25,M,2021-06-18
C0104,55+,F,2021-12-10
C0105,36-45,M,2022-09-26
C0106,26-35,F,2021-11-17
C0107,18-25,F,2021-12-23
C0108,36-45,M,2022-07-16
C0109,46-55,M,2022-11-07
C0110,55+,M,2022-02-11
C0111,36-45,M,2021-03-15
C0112,55+,M,2022-04-17
C0113,36-45,F,2021-04-01
C0114,46-55,F,2021-06-19
C0115,18-25,F,2022-01-27
C0116,55+,F,2021-11-24
C0117,55+,M,2021-07-19
C0118,18-25,F,2022-07-12
C0119,55+,M,2021-07-13
C0120,26-35,M,2022-07-26
C0121,18-25,M,2022-12-23
C0122,46-55,M,2021-05-18
C0123,36-45,M,2022-04-21
C0124,36-45,F,2021-04-25
C0125,18-25,M,2021-03-21
C0126,26-35,M,2021-01-18
C0127,46-55,F,2022-01-23
C0128,36-45,F,2021-07-15
C0129,36-45,F,2021-12-25
C0130,26-35,M,2021-10-24
C0131,55+,M,2022-11-17
C0132,18-25,M,2021-01-03
C0133,26-35,M,2022-11-08
C0134,26-35,F,2022-10-16
C0135,26-35,F,2021-08-29
C0136,26-35,F,2021-03-02
C0137,55+,F,2022-04-05
C0138,46-55,F,2021-03-13
C0139,26-35,F,2021-07-01
C0140,26-35,M,2022-09-13
C0141,18-25,M,2022-12-18
C0142,36-45,F,2022-10-16
C0143,55+,F,2021-08-19
C0144,26-35,F,2021-05-24
C0145,46-55,F,2021-11-10
C0146,46-55,M,2022-04-02
C0147,46-55,M,2021-08-26
C0148,18-25,M,2022-06-19
C0149,46-55,F,2021-12-22
C0150,18-25,F,2022-10-31
C0151,55+,F,2022-01-06
C0152,46-55,M,2021-07-07
C0153,36-45,M,2022-09-14
C0154,26-35,M,2021-02-24
C0155,55+,F,2022-06-22
C0156,36-45,M,2021-08-01
C0157,55+,M,2021-03-22
C0158,46-55,F,2021-09-30
C0159,55+,M,2022-03-07
C0160,55+,F,2021-06-13
C0161,55+,F,2021-03-01
C0162,18-25,F,2021-08-24
C0163,36-45,M,2022-08-06
C0164,46-55,M,2021-09-28
C0165,26-35,F,2022-08-16
C0166,46-55,M,2022-03-16
C0167,46-55,F,2022-02-01
C0168,18-25,M,2021-02-02
C0169,18-25,F,2022-07-02
C0170,55+,F,2022-03-01
C0171,46-55,M,2022-04-15
C0172,36-45,F,2022-02-26
C0173,18-25,F,2022-01-23
C0174,18-25,F,2021-11-04
C0175,36-45,F,2021-03-16
C0176,18-25,F,2021-08-06
C0177,36-45,M,2021-07-27
C0178,26-35,M,2022-04-16
C0179,36-45,F,2022-01-05
C0180,26-35,M,2022-07-17
C0181,55+,F,2021-03-13
C0182,55+,F,2022-06-16
C0183,18-25,F,2021-12-13
C0184,36-45,F,2022-02-24
C0185,18-25,F,2021-05-30
C0186,36-45,M,2022-02-24
C0187,18-25,M,2021-06-15
C0188,55+,M,2021-12-03
C0189,55+,M,2022-01-16
C0190,18-25,M,2022-12-05
C0191,36-45,M,2021-04-10
C0192,46-55,F,2022-08-22
C0193,36-45,M,2021-12-18
C0194,18-25,F,2021-05-10
C0195,36-45,F,2021-07-23
C0196,26-35,M,2022-03-21
C0197,36-45,M,2022-03-24
C0198,55+,F,2021-03-24
C0199,55+,F,2022-05-20
C0200,26-35,F,2021-11-01
C0201,36-45,F,2022-12-06
C0202,46-55,F,2022-02-04
C0203,36-45,M,2022-09-07
C0204,55+,M,2022-10-05
C0205,55+,F,2021-04-23
C0206,18-25,F,2022-09-02
C0207,55+,F,2022-11-30
C0208,18-25,F,2021-05-09
C0209,55+,F,2021-02-05
C0210,55+,F,2021-11-30
C0211,46-55,F,2021-07-26
C0212,18-25,F,2022-12-09
C0213,18-25,M,2022-02-11
C0214,55+,F,2022-11-29
C0215,18-25,F,2022-04-30
C0216,55+,M,2022-12-14
C0217,55+,F,2022-12-03
C0218,36-45,F,2022-11-14
C0219,18-25,F,2022-07-06
C0220,26-35,F,2021-12-28
C0221,18-25,M,2021-12-03
C0222,18-25,F,2021-05-22
C0223,46-55,F,2021-08-24
C0224,26-35,F,2021-10-28
C0225,26-35,M,2022-06-09
C0226,46-55,F,2022-11-28
C0227,46-55,F,2021-05-29
C0228,18-25,M,2021-11-15
C0229,36-45,M,2022-01-03
C0230,46-55,M,2022-02-26
C0231,26-35,M,2022-03-29
C0232,26-35,F,2022-08-03
C0233,18-25,M,2022-05-20
C0234,36-45,M,2022-05-04
C0235,55+,M,2022-12-23
C0236,46-55,F,2021-12-06
C0237,46-55,M,2022-11-15
C0238,18-25,F,2021-04-18
C0239,36-45,F,2022-06-12
C0240,26-35,M,2022-07-29
C0241,26-35,F,2022-12-07
C0242,55+,M,2021-11-07
C0243,26-35,M,2021-02-23
C0244,46-55,F,2022-04-13
C0245,55+,F,2021-07-22
C0246,36-45,F,2021-05-24
C0247,55+,F,2021-09-19
C0248,36-45,M,2022-04-23
C0249,26-35,F,2021-01-14
C0250,18-25,F,2021-07-05
C0251,55+,F,2022-08-08
C0252,55+,F,2022-02-10
C0253,46-55,M,2022-01-29
C0254,46-55,M,2022-09-06
C0255,36-45,F,2022-07-21
C0256,18-25,F,2021-07-01
C0257,46-55,M,2021-03-24
C0258,46-55,M,2022-06-18
C0259,26-35,M,2021-12-24
C0260,26-35,M,2021-06-03
C0261,46-55,F,2021-05-20
C0262,36-45,F,2021-06-17
C0263,18-25,M,2022-08-26
C0264,46-55,M,2021-11-14
C0265,36-45,F,2021-12-18
C0266,36-45,F,2023-01-01
C0267,46-55,M,2022-07-19
C0268,36-45,F,2022-12-17
C0269,55+,M,2021-03-16
C0270,36-45,F,2022-09-12
C0271,46-55,F,2021-12-30
C0272,36-45,M,2022-09-22
C0273,46-55,F,2021-05-18
C0274,26-35,M,2021-11-22
C0275,46-55,F,2021-08-13
C0276,36-45,M,2021-05-01
C0277,46-55,M,2021-03-02
C0278,18-25,M,2022-11-23
C0279,46-55,F,2021-03-06
C0280,46-55,M,2021-07-03
C0281,18-25,M,2021-12-17
C0282,18-25,F,2021-08-04
C0283,18-25,F,2021-08-23
C0284,55+,M,2022-03-27
C0285,46-55,M,2022-01-16
C0286,18-25,F,2022-02-02
C0287,18-25,F,2021-07-27
C0288,26-35,F,2022-03-25
C0289,55+,M,2021-01-04
C0290,46-55,F,2022-02-17
C0291,36-45,M,2021-11-14
C0292,55+,M,2021-05-18
C0293,55+,M,2022-12-19
C0294,26-35,F,2022-11-07
C0295,46-55,F,2021-11-25
C0296,46-55,F,2022-01-25
C0297,18-25,M,2022-06-17
C0298,18-25,M,2021-02-23
C0299,55+,F,2022-03-16
C0300,26-35,F,2021-03-15
C0301,46-55,M,2021-10-18
C0302,26-35,M,2022-10-16
C0303,36-45,M,2022-09-12
C0304,46-55,M,2021-07-16
C0305,18-25,F,2021-12-23
C0306,55+,M,2022-09-08
C0307,26-35,M,2022-08-13
C0308,18-25,F,2022-06-19
C0309,55+,F,2021-07-11
C0310,18-25,F,2022-03-09
C0311,46-55,F,2022-10-18
C0312,26-35,M,2021-07-21
C0313,36-45,M,2022-09-24
C0314,18-25,M,2021-09-10
C0315,26-35,M,2021-09-21
C0316,46-55,M,2021-04-06
C0317,18-25,F,2022-03-16
C0318,46-55,F,2022-08-30
C0319,36-45,M,2021-08-01
C0320,36-45,F,2022-12-10
C0321,55+,M,2022-07-24
C0322,55+,M,2021-04-13
C0323,55+,M,2021-08-14
C0324,46-55,M,2022-12-12
C0325,55+,M,2021-09-25
C0326,26-35,F,2021-09-06
C0327,46-55,F,2021-08-18
C0328,46-55,M,2022-02-27
C0329,55+,M,2021-05-16
C0330,55+,F,2021-06-28
C0331,46-55,M,2022-06-13
C0332,36-45,M,2021-11-12
C0333,36-45,M,2021-04-02
C0334,55+,F,2022-08-13
C0335,36-45,M,2021-04-27
C0336,26-35,M,2022-09-17
C0337,26-35,F,2021-07-22
C0338,26-35,M,2021-07-14
C0339,46-55,M,2021-06-05
C0340,46-55,F,2021-02-13
C0341,46-55,F,2022-03-17
C0342,46-55,M,2022-02-25
C0343,46-55,F,2021-03-05
C0344,55+,M,2021-12-13
C0345,36-45,M,2022-11-10
C0346,55+,F,2021-05-27
C0347,36-45,M,2022-07-03
C0348,55+,F,2021-12-29
C0349,26-35,F,2021-01-31
C0350,18-25,F,2022-12-20
C0351,46-55,M,2021-06-22
C0352,18-25,F,2022-07-26
C0353,18-25,M,2022-03-24
C0354,26-35,F,2021-06-16
C0355,18-25,F,2022-03-21
C0356,18-25,M,2022-12-25
C0357,26-35,M,2022-10-22
C0358,36-45,F,2022-09-26
C0359,55+,M,2022-10-07
C0360,18-25,M,2022-09-23
C0361,46-55,F,2022-03-27
C0362,26-35,F,2022-03-19
C0363,18-25,M,2022-06-20
C0364,36-45,F,2021-12-07
C0365,36-45,F,2021-05-03
C0366,46-55,F,2021-10-09
C0367,18-25,M,2021-12-30
C0368,46-55,M,2021-10-29
C0369,36-45,M,2022-09-28
C0370,36-45,F,2022-04-16
C0371,55+,M,2021-08-08
C0372,36-45,F,2022-09-03
C0373,26-35,F,2022-01-01
C0374,55+,F,2022-02-04
C0375,46-55,F,2022-11-11
C0376,36-45,M,2021-12-02
C0377,26-35,F,2022-02-18
C0378,55+,F,2021-02-26
C0379,26-35,M,2021-01-30
C0380,55+,F,2022-03-31
C0381,55+,M,2021-05-15
C0382,55+,M,2022-06-22
C0383,46-55,M,2021-02-08
C0384,55+,F,2022-12-12
C0385,55+,M,2021-11-29
C0386,26-35,F,2021-01-17
C0387,55+,M,2022-06-14
C0388,46-55,M,2021-09-23
C0389,26-35,M,2022-08-04
C0390,55+,M,2022-07-27
C0391,26-35,F,2022-02-26
C0392,46-55,F,2021-08-16
C0393,26-35,M,2022-12-07
C0394,46-55,M,2022-10-28
C0395,36-45,M,2022-04-14
C0396,55+,F,2021-09-17
C0397,46-55,M,2022-07-19
C0398,55+,M,2022-08-01
C0399,46-55,F,2022-01-24
C0400,18-25,M,2021-01-14
C0401,18-25,M,2021-11-15
C0402,18-25,M,2021-03-08
C0403,46-55,M,2022-07-02
C0404,55+,F,2021-03-02
C0405,18-25,F,2022-06-22
C0406,55+,F,2022-12-31
C0407,46-55,M,2022-06-01
C0408,55+,M,2021-02-14
C0409,55+,F,2021-05-25
C0410,18-25,M,2021-04-03
C0411,26-35,M,2021-09-06
C0412,36-45,F,2021-06-20
C0413,46-55,F,2022-12-01
C0414,46-55,M,2021-03-03
C0415,46-55,F,2022-12-18
C0416,36-45,M,2022-02-18
C0417,26-35,F,2022-05-04
C0418,55+,F,2022-12-16
C0419,46-55,M,2021-07-17
C0420,55+,M,2022-10-13
C0421,18-25,F,2021-03-17
C0422,18-25,M,2021-10-23
C0423,18-25,M,2022-12-25
C0424,46-55,M,2021-02-22
C0425,36-45,F,2022-03-21
C0426,46-55,M,2022-06-30
C0427,18-25,M,2021-07-27
C0428,18-25,F,2021-11-06
C0429,46-55,F,2021-09-23
C0430,36-45,F,2022-10-11
C0431,36-45,F,2021-06-14
C0432,55+,M,2021-03-30
C0433,26-35,M,2021-04-05
C0434,18-25,F,2021-09-06
C0435,36-45,F,2022-02-11
C0436,18-25,M,2021-11-09
C0437,26-35,M,2022-11-12
C0438,18-25,F,2022-12-06
C0439,36-45,M,2021-02-24
C0440,55+,M,2021-07-06
C0441,46-55,F,2022-11-01
C0442,46-55,F,2021-03-16
C0443,36-45,F,2022-07-15
C0444,36-45,F,2022-03-22
C0445,26-35,M,2022-09-07
C0446,18-25,F,2022-12-29
C0447,26-35,M,2022-10-28
C0448,46-55,M,2022-11-03
C0449,18-25,M,2021-08-18
C0450,26-35,F,2022-05-18
C0451,46-55,M,2022-09-24
C0452,18-25,F,2022-09-05
C0453,55+,F,2022-10-25
C0454,55+,F,2021-03-09
C0455,26-35,M,2022-05-26
C0456,36-45,F,2022-05-24
C0457,18-25,F,2021-02-24
C0458,26-35,M,2021-08-16
C0459,36-45,F,2022-06-05
C0460,36-45,M,2021-06-06
C0461,18-25,M,2022-04-15
C0462,18-25,F,2021-08-02
C0463,36-45,F,2022-04-29
C0464,46-55,F,2022-04-20
C0465,26-35,F,2022-10-31
C0466,18-25,M,2021-12-06
C0467,36-45,F,2021-07-11
C0468,46-55,F,2021-11-11
C0469,55+,M,2022-11-10
C0470,36-45,F,2022-11-25
C0471,46-55,F,2022-02-28
C0472,55+,F,2021-03-22
C0473,46-55,F,2022-11-10
C0474,18-25,F,2021-05-06
C0475,36-45,M,2021-05-06
C0476,55+,F,2021-10-07
C0477,46-55,M,2021-09-28
C0478,55+,M,2021-09-03
C0479,26-35,M,2022-08-18
C0480,36-45,M,2021-12-26
C0481,18-25,F,2022-04-21
C0482,55+,F,2021-12-03
C0483,46-55,M,2022-11-26
C0484,55+,F,2021-03-19
C0485,46-55,F,2022-08-08
C0486,55+,M,2022-12-25
C0487,18-25,F,2022-04-26
C0488,18-25,M,2021-03-26
C0489,36-45,M,2021-06-10
C0490,18-25,F,2021-04-07
C0491,55+,F,2021-10-12
C0492,55+,F,2022-04-14
C0493,18-25,M,2021-04-10
C0494,26-35,M,2021-10-20
C0495,55+,F,2022-04-18
C0496,36-45,M,2022-02-13
C0497,26-35,F,2021-07-21
C0498,18-25,F,2022-03-07
C0499,46-55,F,2021-09-04
